effective_date,symbol
2008-01-31,ABB.NS
2008-01-31,ACC.NS
2008-01-31,AMBUJACEM.NS
2008-01-31,BAJAJAUTO.NS
2008-01-31,BHARTIARTL.NS
2008-01-31,BHEL.NS
2008-01-31,BPCL.NS
2008-01-31,CAIRN.NS
2008-01-31,CIPLA.NS
2008-01-31,DRREDDY.NS
2008-01-31,GAIL.NS
2008-01-31,GLAXO.NS
2008-01-31,GRASIM.NS
2008-01-31,HCLTECH.NS
2008-01-31,HDFC.NS
2008-01-31,HDFCBANK.NS
2008-01-31,HEROMOTOCO.NS
2008-01-31,HINDALCO.NS
2008-01-31,HINDUNILVR.NS
2008-01-31,ICICIBANK.NS
2008-01-31,IDEA.NS
2008-01-31,INFY.NS
2008-01-31,ITC.NS
2008-01-31,LT.NS
2008-01-31,M&M.NS
2008-01-31,MARUTI.NS
2008-01-31,NATIONALUM.NS
2008-01-31,NTPC.NS
2008-01-31,ONGC.NS
2008-01-31,PNB.NS
2008-01-31,RANBAXY.NS
2008-01-31,RCOM.NS
2008-01-31,RELIANCE.NS
2008-01-31,RELINFRA.NS
2008-01-31,RPL.NS
2008-01-31,SAIL.NS
2008-01-31,SATYAMCOMP.NS
2008-01-31,SBIN.NS
2008-01-31,SIEMENS.NS
2008-01-31,STER.NS
2008-01-31,SUNPHARMA.NS
2008-01-31,SUZLON.NS
2008-01-31,TATAMOTORS.NS
2008-01-31,TATAPOWER.NS
2008-01-31,TATASTEEL.NS
2008-01-31,TCS.NS
2008-01-31,UNITECH.NS
2008-01-31,VSNL.NS
2008-01-31,WIPRO.NS
2008-01-31,ZEEL.NS
2008-02-29,ABB.NS
2008-02-29,ACC.NS
2008-02-29,AMBUJACEM.NS
2008-02-29,BAJAJAUTO.NS
2008-02-29,BHARTIARTL.NS
2008-02-29,BHEL.NS
2008-02-29,BPCL.NS
2008-02-29,CAIRN.NS
2008-02-29,CIPLA.NS
2008-02-29,DRREDDY.NS
2008-02-29,GAIL.NS
2008-02-29,GLAXO.NS
2008-02-29,GRASIM.NS
2008-02-29,HCLTECH.NS
2008-02-29,HDFC.NS
2008-02-29,HDFCBANK.NS
2008-02-29,HEROMOTOCO.NS
2008-02-29,HINDALCO.NS
2008-02-29,HINDUNILVR.NS
2008-02-29,ICICIBANK.NS
2008-02-29,IDEA.NS
2008-02-29,INFY.NS
2008-02-29,ITC.NS
2008-02-29,LT.NS
2008-02-29,M&M.NS
2008-02-29,MARUTI.NS
2008-02-29,NATIONALUM.NS
2008-02-29,NTPC.NS
2008-02-29,ONGC.NS
2008-02-29,PNB.NS
2008-02-29,RANBAXY.NS
2008-02-29,RCOM.NS
2008-02-29,RELIANCE.NS
2008-02-29,RELINFRA.NS
2008-02-29,RPL.NS
2008-02-29,SAIL.NS
2008-02-29,SATYAMCOMP.NS
2008-02-29,SBIN.NS
2008-02-29,SIEMENS.NS
2008-02-29,STER.NS
2008-02-29,SUNPHARMA.NS
2008-02-29,SUZLON.NS
2008-02-29,TATAMOTORS.NS
2008-02-29,TATAPOWER.NS
2008-02-29,TATASTEEL.NS
2008-02-29,TCS.NS
2008-02-29,UNITECH.NS
2008-02-29,VSNL.NS
2008-02-29,WIPRO.NS
2008-02-29,ZEEL.NS
2008-04-01,ABB.NS
2008-04-01,ACC.NS
2008-04-01,AMBUJACEM.NS
2008-04-01,BHARTIARTL.NS
2008-04-01,BHEL.NS
2008-04-01,BPCL.NS
2008-04-01,CAIRN.NS
2008-04-01,CIPLA.NS
2008-04-01,DLF.NS
2008-04-01,DRREDDY.NS
2008-04-01,GAIL.NS
2008-04-01,GRASIM.NS
2008-04-01,HCLTECH.NS
2008-04-01,HDFC.NS
2008-04-01,HDFCBANK.NS
2008-04-01,HEROMOTOCO.NS
2008-04-01,HINDALCO.NS
2008-04-01,HINDUNILVR.NS
2008-04-01,ICICIBANK.NS
2008-04-01,IDEA.NS
2008-04-01,INFY.NS
2008-04-01,ITC.NS
2008-04-01,LT.NS
2008-04-01,M&M.NS
2008-04-01,MARUTI.NS
2008-04-01,NATIONALUM.NS
2008-04-01,NTPC.NS
2008-04-01,ONGC.NS
2008-04-01,PNB.NS
2008-04-01,POWERGRID.NS
2008-04-01,RANBAXY.NS
2008-04-01,RCOM.NS
2008-04-01,RELIANCE.NS
2008-04-01,RELINFRA.NS
2008-04-01,RPL.NS
2008-04-01,SAIL.NS
2008-04-01,SATYAMCOMP.NS
2008-04-01,SBIN.NS
2008-04-01,SIEMENS.NS
2008-04-01,STER.NS
2008-04-01,SUNPHARMA.NS
2008-04-01,SUZLON.NS
2008-04-01,TATACOMM.NS
2008-04-01,TATAMOTORS.NS
2008-04-01,TATAPOWER.NS
2008-04-01,TATASTEEL.NS
2008-04-01,TCS.NS
2008-04-01,UNITECH.NS
2008-04-01,WIPRO.NS
2008-04-01,ZEEL.NS
2008-04-30,ABB.NS
2008-04-30,ACC.NS
2008-04-30,AMBUJACEM.NS
2008-04-30,BHARTIARTL.NS
2008-04-30,BHEL.NS
2008-04-30,BPCL.NS
2008-04-30,CAIRN.NS
2008-04-30,CIPLA.NS
2008-04-30,DLF.NS
2008-04-30,DRREDDY.NS
2008-04-30,GAIL.NS
2008-04-30,GRASIM.NS
2008-04-30,HCLTECH.NS
2008-04-30,HDFC.NS
2008-04-30,HDFCBANK.NS
2008-04-30,HEROMOTOCO.NS
2008-04-30,HINDALCO.NS
2008-04-30,HINDUNILVR.NS
2008-04-30,ICICIBANK.NS
2008-04-30,IDEA.NS
2008-04-30,INFY.NS
2008-04-30,ITC.NS
2008-04-30,LT.NS
2008-04-30,M&M.NS
2008-04-30,MARUTI.NS
2008-04-30,NATIONALUM.NS
2008-04-30,NTPC.NS
2008-04-30,ONGC.NS
2008-04-30,PNB.NS
2008-04-30,POWERGRID.NS
2008-04-30,RANBAXY.NS
2008-04-30,RCOM.NS
2008-04-30,RELIANCE.NS
2008-04-30,RELINFRA.NS
2008-04-30,RPL.NS
2008-04-30,SAIL.NS
2008-04-30,SATYAMCOMP.NS
2008-04-30,SBIN.NS
2008-04-30,SIEMENS.NS
2008-04-30,STER.NS
2008-04-30,SUNPHARMA.NS
2008-04-30,SUZLON.NS
2008-04-30,TATACOMM.NS
2008-04-30,TATAMOTORS.NS
2008-04-30,TATAPOWER.NS
2008-04-30,TATASTEEL.NS
2008-04-30,TCS.NS
2008-04-30,UNITECH.NS
2008-04-30,WIPRO.NS
2008-04-30,ZEEL.NS
2008-05-31,ABB.NS
2008-05-31,ACC.NS
2008-05-31,AMBUJACEM.NS
2008-05-31,BHARTIARTL.NS
2008-05-31,BHEL.NS
2008-05-31,BPCL.NS
2008-05-31,CAIRN.NS
2008-05-31,CIPLA.NS
2008-05-31,DLF.NS
2008-05-31,DRREDDY.NS
2008-05-31,GAIL.NS
2008-05-31,GRASIM.NS
2008-05-31,HCLTECH.NS
2008-05-31,HDFC.NS
2008-05-31,HDFCBANK.NS
2008-05-31,HEROMOTOCO.NS
2008-05-31,HINDALCO.NS
2008-05-31,HINDUNILVR.NS
2008-05-31,ICICIBANK.NS
2008-05-31,IDEA.NS
2008-05-31,INFY.NS
2008-05-31,ITC.NS
2008-05-31,LT.NS
2008-05-31,M&M.NS
2008-05-31,MARUTI.NS
2008-05-31,NATIONALUM.NS
2008-05-31,NTPC.NS
2008-05-31,ONGC.NS
2008-05-31,PNB.NS
2008-05-31,POWERGRID.NS
2008-05-31,RANBAXY.NS
2008-05-31,RCOM.NS
2008-05-31,RELIANCE.NS
2008-05-31,RELINFRA.NS
2008-05-31,RPL.NS
2008-05-31,SAIL.NS
2008-05-31,SATYAMCOMP.NS
2008-05-31,SBIN.NS
2008-05-31,SIEMENS.NS
2008-05-31,STER.NS
2008-05-31,SUNPHARMA.NS
2008-05-31,SUZLON.NS
2008-05-31,TATACOMM.NS
2008-05-31,TATAMOTORS.NS
2008-05-31,TATAPOWER.NS
2008-05-31,TATASTEEL.NS
2008-05-31,TCS.NS
2008-05-31,UNITECH.NS
2008-05-31,WIPRO.NS
2008-05-31,ZEEL.NS
2008-06-30,ABB.NS
2008-06-30,ACC.NS
2008-06-30,AMBUJACEM.NS
2008-06-30,BHARTIARTL.NS
2008-06-30,BHEL.NS
2008-06-30,BPCL.NS
2008-06-30,CAIRN.NS
2008-06-30,CIPLA.NS
2008-06-30,DLF.NS
2008-06-30,DRREDDY.NS
2008-06-30,GAIL.NS
2008-06-30,GRASIM.NS
2008-06-30,HCLTECH.NS
2008-06-30,HDFC.NS
2008-06-30,HDFCBANK.NS
2008-06-30,HEROMOTOCO.NS
2008-06-30,HINDALCO.NS
2008-06-30,HINDUNILVR.NS
2008-06-30,ICICIBANK.NS
2008-06-30,IDEA.NS
2008-06-30,INFY.NS
2008-06-30,ITC.NS
2008-06-30,LT.NS
2008-06-30,M&M.NS
